block,v3_usdc_per_weth,v2_usdc_per_weth,spread_pct,direction
47146753,1615.6652,1620.2989,0.28680,V3->V2
47146754,1615.6652,1620.0435,0.27099,V3->V2
47146755,1615.6652,1620.0435,0.27099,V3->V2
47146756,1615.6652,1620.0435,0.27099,V3->V2
47146757,1615.6652,1620.0435,0.27099,V3->V2
47146758,1615.6652,1620.0435,0.27099,V3->V2
47146759,1615.0406,1619.3281,0.26547,V3->V2
47146760,1615.0406,1619.3281,0.26547,V3->V2
47146761,1615.0406,1619.3281,0.26547,V3->V2
47146762,1615.0406,1619.3281,0.26547,V3->V2
47146763,1615.0406,1619.3281,0.26547,V3->V2
47146764,1615.0406,1619.3281,0.26547,V3->V2
47146765,1615.0415,1619.3281,0.26542,V3->V2
47146766,1615.0415,1619.3281,0.26542,V3->V2
47146767,1614.4629,1618.7642,0.26643,V3->V2
47146768,1614.4629,1618.7642,0.26643,V3->V2
47146769,1614.4629,1618.7642,0.26643,V3->V2
47146770,1614.4629,1618.7642,0.26643,V3->V2
47146771,1614.4629,1618.7642,0.26643,V3->V2
47146772,1614.4639,1618.7642,0.26636,V3->V2
47146773,1614.1773,1618.7642,0.28416,V3->V2
47146774,1614.1773,1618.7642,0.28416,V3->V2
47146775,1613.4114,1618.4144,0.31009,V3->V2
47146776,1613.1398,1617.4397,0.26656,V3->V2
47146777,1613.1398,1617.4397,0.26656,V3->V2
47146778,1613.1398,1617.4397,0.26656,V3->V2
47146779,1613.1470,1617.4397,0.26611,V3->V2
47146780,1613.1470,1617.4397,0.26611,V3->V2
47146781,1613.1470,1617.4397,0.26611,V3->V2
47146782,1613.1470,1617.4397,0.26611,V3->V2
47146783,1613.1470,1617.4397,0.26611,V3->V2
47146784,1613.1470,1617.4686,0.26790,V3->V2
47146785,1613.1469,1617.4686,0.26791,V3->V2
47146786,1613.1469,1617.4686,0.26791,V3->V2
